geography_type,geography_id,geography_desc,geography_desc_full,project_id,project_name,program_id,program_name,agency_id,location_count,agency_name,agency_name_abbr,total_location_count
state,53,"Washington","Washington",13233,"Ziply Fiber Northwest, LLC - WA - Gigabit",24,"Rural Digital Opportunity Fund",1,20605,"Federal Communications Commission","FCC",20605
state,53,"Washington","Washington",11484,"Telephone & Data Systems, incl. UScellular - WA",35,"Enhanced Alternative Connect America Cost Model",1,14205,"Federal Communications Commission","FCC",14205
state,53,"Washington","Washington",2600,"Commerce Washington State Department of",11,"Broadband Infrastructure Program",5,7478,"NTIA","NTIA",7478
state,53,"Washington","Washington",13333,"Charter Fiberlink WA-CCVII, LLC - WA - Gigabit",24,"Rural Digital Opportunity Fund",1,4247,"Federal Communications Commission","FCC",4247
state,53,"Washington","Washington",11481,"Western Elite Incorporated Services - WA",35,"Enhanced Alternative Connect America Cost Model",1,3818,"Federal Communications Commission","FCC",3818
state,53,"Washington","Washington",13353,"Commnet Wireless, LLC - WA - Above Baseline",24,"Rural Digital Opportunity Fund",1,2908,"Federal Communications Commission","FCC",2908
state,53,"Washington","Washington",6673,"Public Utility District 1 of Lewis County-WA1706-A73",6,"RURAL ECONNECTIVITY PROGRAM",3,2647,"Rural Utilities Service","RUS",2647
state,53,"Washington","Washington",6644,"Home Telephone Company, Inc.-OR1707-A71",6,"RURAL ECONNECTIVITY PROGRAM",3,2485,"Rural Utilities Service","RUS",2485
state,53,"Washington","Washington",13695,"Lummi Nation",27,"Tribal Broadband Connectivity Program NOFO 1",5,2084,"NTIA","NTIA",2084
state,53,"Washington","Washington",14659,"Central Stevens County Hybrid Broadband",18,"Capital Projects Fund",4,1866,"US Department of Treasury","Treasury",1866
state,53,"Washington","Washington",14650,"Bunker Creek Broadband Infrastructure",18,"Capital Projects Fund",4,1528,"US Department of Treasury","Treasury",1528
state,53,"Washington","Washington",14527,"Swinomish Indian Tribal Community",41,"Tribal Broadband Connectivity Program NOFO 2",5,1467,"NTIA","NTIA",1467
state,53,"Washington","Washington",15062,"Inland Cellular LLC - WA - Above Baseline",24,"Rural Digital Opportunity Fund",1,1456,"Federal Communications Commission","FCC",1456
state,53,"Washington","Washington",14655,"Okanogan County Connects",18,"Capital Projects Fund",4,1449,"US Department of Treasury","Treasury",1449
