locationid,service,highcost,hex,block,project,CAI,latitude,longitude,avail
1024098787,unserved,,88288b920dfffff,530019503011133,"Adams County-178",,,,
1024098788,unserved,,88288b964bfffff,530019505001102,"Adams County-178",,,,
1024098848,unserved,,88288b92ddfffff,530019503011074,"Adams County-178",,,,
1024098868,unserved,,88288b9401fffff,530019503011025,"Adams County-178",,,,
1024098881,unserved,,88288b92bdfffff,530019503011049,"Adams County-178",,,,
1024098889,unserved,,88288b9761fffff,530019503011037,"Adams County-178",,,,
1024099056,unserved,,8828882dabfffff,530019503011098,"Adams County-178",,,,
1024099090,unserved,,88288b946dfffff,530019503011022,"Adams County-178",,,,
1024099091,unserved,,88288b940dfffff,530019503011023,"Adams County-178",,,,
1024099103,unserved,highcost,88288866b7fffff,530019502002166,"Adams County-178",,,,
1024099104,unserved,,88288b955bfffff,530019503011011,"Adams County-178",,,,
1024099112,unserved,,88288b9001fffff,530019503011055,"Adams County-178",,,,
1024099158,unserved,,8828894a2dfffff,530019503021016,"Adams County-178",,,,
1024099163,unserved,,88288b92b9fffff,530019503011060,"Adams County-178",,,,
1024099168,unserved,highcost,8828882985fffff,530019502002187,"Adams County-178",,,,
1024099169,unserved,highcost,88288866b7fffff,530019502002167,"Adams County-178",,,,
1024099179,unserved,,88288b9269fffff,530019503011136,"Adams County-178",,,,
1024099185,unserved,,88288959b3fffff,530019503021034,"Adams County-178",,,,
1024099201,unserved,,88288b9735fffff,530019503011020,"Adams County-178",,,,
1024099204,unserved,,882889581bfffff,530019503032009,"Adams County-178",,,,
1024099207,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024099226,unserved,,8828882d31fffff,530019503011092,"Adams County-178",,,,
1024099246,unserved,,88288b92d1fffff,530019503011101,"Adams County-178",,,,
1024099254,unserved,,88288b9053fffff,530019503011053,"Adams County-178",,,,
1024099256,unserved,,8828882d85fffff,530019503011093,"Adams County-178",,,,
1024099261,unserved,,88288b9761fffff,530019503011062,"Adams County-178",,,,
1024099264,unserved,,88288b946dfffff,530019503011022,"Adams County-178",,,,
1024099302,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024099306,unserved,,882889580bfffff,530019503032027,"Adams County-178",,,,
1024099317,unserved,,88288b966dfffff,530019503011095,"Adams County-178",,,,
1024099341,unserved,,88288b966bfffff,530019505001000,"Adams County-178",,,,
1024099380,unserved,highcost,88288866b7fffff,530019502002169,"Adams County-178",,,,
1024099396,unserved,,88288b9763fffff,530019503011037,"Adams County-178",,,,
1024099401,unserved,,88288b9723fffff,530019503011039,"Adams County-178",,,,
1024099405,unserved,,8828895b17fffff,530019503032040,"Adams County-178",,,,
1024099420,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024099434,unserved,,882889580bfffff,530019503032027,"Adams County-178",,,,
1024099448,unserved,,8828894a29fffff,530019503021011,"Adams County-178",,,,
1024099460,unserved,,88288b9723fffff,530019503011039,"Adams County-178",,,,
1024099501,unserved,highcost,88288866b7fffff,530019502002166,"Adams County-178",,,,
1024099503,unserved,,88288b9665fffff,530019503011079,"Adams County-178",,,,
1024099530,unserved,,88288b921bfffff,530019503011106,"Adams County-178",,,,
1024099543,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024099556,unserved,,8828895851fffff,530019503032028,"Adams County-178",,,,
1024099571,unserved,,882889580bfffff,530019503032027,"Adams County-178",,,,
1024099576,unserved,,8828882dabfffff,530019503011098,"Adams County-178",,,,
1024099579,unserved,,8828895865fffff,530019503032040,"Adams County-178",,,,
1024099580,unserved,,8828895b39fffff,530019503032040,"Adams County-178",,,,
1024099590,unserved,,88288b9607fffff,530019503011032,"Adams County-178",,,,
1024099599,unserved,,8828882da5fffff,530019503011102,"Adams County-178",,,,
1024099618,unserved,highcost,88288b9303fffff,530019502002176,"Adams County-178",,,,
1024099647,unserved,,88288b96e1fffff,530019503021019,"Adams County-178",,,,
1024099655,unserved,,88288b900dfffff,530019503011089,"Adams County-178",,,,
1024099657,unserved,,88288b9707fffff,530019503011020,"Adams County-178",,,,
1024099659,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024099686,unserved,,88288b9469fffff,530019503011023,"Adams County-178",,,,
1024099747,unserved,,88288b9761fffff,530019503011064,"Adams County-178",,,,
1024099768,unserved,,8828894a21fffff,530019503021016,"Adams County-178",,,,
1024099776,unserved,,88288b921bfffff,530019503011105,"Adams County-178",,,,
1024099783,unserved,,88288b941dfffff,530019503021018,"Adams County-178",,,,
1024099809,unserved,,882889580dfffff,530019503032005,"Adams County-178",,,,
1024099817,unserved,,88288b962dfffff,530019503011079,"Adams County-178",,,,
1024099829,unserved,,88288b9555fffff,530019503011010,"Adams County-178",,,,
1024099842,unserved,,8828894a43fffff,530019503021012,"Adams County-178",,,,
1024099855,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024099869,unserved,,88288b9541fffff,530019503011008,"Adams County-178",,,,
1024099873,unserved,,8828895861fffff,530019503032040,"Adams County-178",,,,
1024099889,unserved,,88288b925dfffff,530019503011135,"Adams County-178",,,,
1024099902,unserved,,88288b92d7fffff,530019503011102,"Adams County-178",,,,
1024099933,unserved,,88288b9729fffff,530019503011020,"Adams County-178",,,,
1024099947,unserved,,88288b9645fffff,530019505001100,"Adams County-178",,,,
1024099985,unserved,,88288b8257fffff,530019503011006,"Adams County-178",,,,
1024099994,unserved,,8828895861fffff,530019503032005,"Adams County-178",,,,
1024100011,unserved,,8828895b07fffff,530019503032025,"Adams County-178",,,,
1024100013,unserved,,88288b9407fffff,530019503011012,"Adams County-178",,,,
1024100018,unserved,,88288b9753fffff,530019503011033,"Adams County-178",,,,
1024100027,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100032,unserved,,88288829b7fffff,530019503011140,"Adams County-178",,,,
1024100034,unserved,,88288b964bfffff,530019505001102,"Adams County-178",,,,
1024100042,unserved,,88288b9645fffff,530019505001065,"Adams County-178",,,,
1024100067,unserved,,8828895801fffff,530019503032007,"Adams County-178",,,,
1024100074,unserved,,88288b9429fffff,530019503011011,"Adams County-178",,,,
1024100104,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100137,unserved,,88288b9627fffff,530019503011033,"Adams County-178",,,,
1024100151,unserved,,8828894a3bfffff,530019503021053,"Adams County-178",,,,
1024100154,unserved,,8828882da3fffff,530019503011098,"Adams County-178",,,,
1024100183,unserved,,88288b92b1fffff,530019503011060,"Adams County-178",,,,
1024100191,unserved,,8828882da1fffff,530019503011098,"Adams County-178",,,,
1024100198,unserved,,88288b9761fffff,530019503011076,"Adams County-178",,,,
1024100237,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100255,unserved,highcost,88288866b7fffff,530019502002167,"Adams County-178",,,,
1024100280,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100303,unserved,,88288b92ddfffff,530019503011082,"Adams County-178",,,,
1024100320,unserved,,88288b90a3fffff,530019503011044,"Adams County-178",,,,
1024100324,unserved,,8828895811fffff,530019503032011,"Adams County-178",,,,
1024100355,unserved,,88288b9761fffff,530019503011062,"Adams County-178",,,,
1024100370,unserved,,88288b9449fffff,530019503011029,"Adams County-178",,,,
1024100385,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100387,unserved,,8828895b17fffff,530019503032040,"Adams County-178",,,,
1024100389,unserved,,8828894a67fffff,530019503021011,"Adams County-178",,,,
1024100439,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100466,unserved,,88288b9637fffff,530019503021038,"Adams County-178",,,,
1024100475,unserved,,8828882da3fffff,530019503011100,"Adams County-178",,,,
1024100519,unserved,,88288b9753fffff,530019503011033,"Adams County-178",,,,
