location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1024099225,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024099256,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024099803,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024099831,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024099838,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024100079,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024100816,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024100901,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024101239,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024101385,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024101558,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024101969,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024102144,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024102277,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024102323,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024102563,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024102647,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024103163,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024103565,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024103740,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024103896,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024103980,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024104139,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024104205,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024104987,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024105098,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024105410,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024105807,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1024105815,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027402012,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027403593,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027403964,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027404410,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027406012,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027406480,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027408434,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027408775,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027409204,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027409243,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027415560,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1027415621,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042955216,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042955217,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042955894,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042968396,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042968405,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042969291,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1042969326,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042970986,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042970991,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973458,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973459,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973466,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973467,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973469,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973470,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973473,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973475,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973479,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973481,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042973483,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042975125,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1042975220,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049458383,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049458542,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049458828,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049459092,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049459109,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464210,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464212,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464344,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049464365,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464399,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464428,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464604,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464819,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464842,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464913,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464918,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464920,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464922,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464930,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464932,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464955,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049464980,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465001,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465006,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465054,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465061,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465086,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465087,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465105,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465118,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465122,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465123,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465148,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465155,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465163,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465234,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465249,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465283,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465359,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465413,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465496,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465502,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465506,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465509,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465535,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465577,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465578,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465583,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465595,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465612,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465634,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465636,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465670,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465692,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465694,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465709,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465716,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465722,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465765,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465777,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465802,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465847,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049465914,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466078,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466146,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466148,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466151,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466153,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466156,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466430,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466542,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466554,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466568,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
